::1 - - [15/May/2025:20:21:19 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:19 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:26 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:26 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:26 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:46 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:46 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:46 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:54 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:54 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:54 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:00 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:00 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:00 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:05 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:05 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:05 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:20 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:20 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:20 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:25 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:25 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:25 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:29 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
